transaction_id,account_id,type_id,amount,transaction_date
166,55001,5,200,2023-04-16 16:25:44
167,6505,3,3000,2023-08-21 11:47:48
168,88135,4,100,2023-07-11 09:47:21
169,77997,1,6000,2023-04-17 20:23:18
170,72976,1,10000,2023-03-25 15:34:46
171,31650,2,700,2023-01-15 10:31:23
172,78570,5,700,2023-02-20 17:53:28
173,190,1,900,2023-04-01 09:11:40
174,53019,3,4000,2023-05-15 12:47:16
175,45049,2,600,2023-07-30 21:24:34
176,17466,3,200,2023-04-08 06:35:11
177,19720,3,9000,2023-07-08 14:34:15
178,15583,3,900,2023-05-11 05:17:06
179,89613,1,800,2023-08-01 18:56:02
180,18830,5,4000,2023-05-19 05:14:54
181,32897,5,700,2023-04-04 07:10:36
182,10112,4,4000,2023-07-12 03:18:48
183,63979,4,900,2023-06-16 10:01:45
184,27936,1,600,2023-05-07 08:36:06
185,34668,1,2000,2023-04-08 19:41:33
186,4315,5,10000,2023-05-22 16:19:02
187,49385,2,400,2023-01-15 16:15:24
188,81148,5,600,2023-06-17 02:06:59
189,29432,4,3000,2023-07-03 23:55:04
190,56335,4,500,2023-05-25 07:11:58
191,27721,4,8000,2023-07-02 02:47:09
192,37310,2,200,2023-03-15 17:42:07
193,97282,2,2000,2023-03-06 23:59:38
194,5531,5,600,2023-06-13 13:59:04
195,69608,5,300,2023-01-30 13:06:08
196,8164,3,600,2023-02-16 03:15:38
197,42890,1,6000,2023-04-18 20:07:17
198,98764,5,5000,2023-08-10 20:26:51
199,49438,2,1000,2023-01-14 15:44:39
200,60477,3,3000,2023-07-08 16:55:40
201,74748,3,6000,2023-05-14 14:47:29
202,8828,2,100,2023-05-02 16:48:33
203,70739,2,4000,2023-04-15 10:04:50
204,32143,1,4000,2023-01-30 07:58:35
205,41608,5,300,2023-06-21 08:19:32
206,43422,4,400,2023-06-08 17:26:03
207,27451,1,3000,2023-08-11 09:29:03
208,8018,2,600,2023-03-30 11:34:26
209,71702,3,1000,2023-04-17 20:02:13
210,27769,3,500,2023-01-13 04:52:29
211,32016,1,500,2023-02-06 05:08:29
212,79480,5,2000,2023-07-13 23:56:29
213,4372,1,9000,2023-03-06 00:36:14
214,23778,4,700,2023-07-27 08:37:19
215,64266,4,700,2023-08-09 23:37:40
216,6924,2,900,2023-05-12 03:46:39
217,48655,1,500,2023-01-31 17:32:10
218,14053,4,10000,2023-06-07 02:56:07
219,39703,5,800,2023-01-14 18:43:32
220,82147,4,800,2023-03-27 18:38:43
221,15703,4,200,2023-03-30 10:42:14
222,91867,3,100,2023-08-15 22:56:52
223,41097,1,400,2023-04-01 17:18:53
224,51516,1,300,2023-06-28 17:56:32
225,6893,5,600,2023-07-18 05:37:19
226,75122,3,1000,2023-06-25 10:18:28
227,70137,4,6000,2023-08-07 05:18:44
228,73706,4,800,2023-02-23 21:17:47
229,25841,4,400,2023-04-28 10:43:49
230,72967,2,200,2023-01-25 06:44:31
231,44043,2,800,2023-01-24 21:38:08
232,30903,4,6000,2023-07-09 05:34:37
233,78103,5,9000,2023-04-08 06:01:38
234,27284,4,500,2023-03-07 12:22:34
235,74142,3,300,2023-03-19 20:26:25
236,53361,1,10000,2023-01-30 11:00:24
237,82019,2,5000,2023-07-02 15:12:43
238,97560,3,4000,2023-05-27 01:28:00
239,16747,2,400,2023-01-18 21:19:49
240,67834,4,8000,2023-03-25 20:52:04
241,85233,1,6000,2023-06-09 13:53:14
242,31572,2,400,2023-01-01 10:13:24
243,41339,1,6000,2023-03-18 20:20:54
244,34943,3,900,2023-08-13 08:42:58
245,940,2,3000,2023-08-04 15:24:52
246,12685,5,700,2023-03-21 05:15:21
247,44654,4,400,2023-03-15 12:16:24
248,88834,5,8000,2023-08-16 09:51:28
249,17107,2,600,2023-06-18 07:44:06
250,48385,4,700,2023-07-12 15:08:12
251,47261,4,300,2023-01-22 15:46:20
252,52728,4,600,2023-06-06 13:08:58
253,11076,1,3000,2023-08-02 00:42:12
254,8687,5,800,2023-05-10 21:41:22
255,86642,5,700,2023-02-24 19:39:17
256,90450,1,5000,2023-04-24 18:07:27
257,71075,2,9000,2023-07-07 10:01:13
258,96246,3,1000,2023-07-04 22:21:30
259,75896,5,4000,2023-04-27 06:58:00
260,82855,2,800,2023-07-20 12:51:27
261,55118,1,100,2023-07-01 10:11:05
262,84614,2,900,2023-06-10 04:56:05
263,27386,3,9000,2023-01-27 04:00:13
264,1033,5,800,2023-07-28 20:26:39
265,99067,4,9000,2023-03-24 23:18:29
266,32441,4,600,2023-04-12 14:03:09
267,71568,5,300,2023-01-13 04:27:49
268,81061,4,6000,2023-01-13 19:04:42
269,95084,4,500,2023-06-11 13:55:19
270,71424,5,900,2023-06-09 04:41:31
271,71765,2,300,2023-05-10 08:21:03
272,1357,1,500,2023-03-26 18:47:09
273,45886,2,9000,2023-04-21 18:31:55
274,25801,3,1000,2023-08-20 23:28:28
275,23687,5,300,2023-03-01 07:14:07
276,36558,4,400,2023-07-21 13:10:34
277,90487,3,1000,2023-01-01 09:56:56
278,18973,4,300,2023-01-24 12:31:16
279,45399,3,5000,2023-06-09 19:30:14
280,96535,5,9000,2023-06-11 04:23:39
281,69673,3,3000,2023-06-07 02:51:57
282,62448,2,2000,2023-04-22 15:54:45
283,77292,4,8000,2023-07-24 15:15:00
284,45480,1,2000,2023-01-02 13:14:19
285,96302,3,3000,2023-07-18 10:33:32
286,16866,1,7000,2023-07-14 21:23:07
287,99155,3,8000,2023-02-04 07:08:00
288,44869,2,6000,2023-07-06 09:37:26
289,77602,4,7000,2023-02-22 10:30:20
290,14414,4,900,2023-03-13 06:06:17
291,36263,3,9000,2023-02-16 09:35:29
292,19128,5,600,2023-06-20 15:43:02
293,77892,1,10000,2023-05-28 04:02:12
294,81332,2,3000,2023-07-15 17:45:13
295,13817,4,9000,2023-03-19 15:41:54
296,56671,3,6000,2023-07-04 18:59:25
297,3531,1,10000,2023-03-17 13:09:09
298,93688,2,4000,2023-07-17 21:09:15
299,83835,2,6000,2023-04-30 07:24:55
300,24722,2,100,2023-05-07 16:34:19
301,54000,1,5000,2023-07-23 19:11:14
302,54985,4,9000,2023-02-26 18:50:11
303,47406,4,600,2023-04-11 09:27:15
304,20510,4,800,2023-02-13 03:24:35
305,22703,2,9000,2023-07-04 07:09:01
306,56032,3,8000,2023-01-05 07:44:12
307,47068,3,600,2023-02-21 15:37:36
308,31043,4,900,2023-02-26 16:00:48
309,36622,3,800,2023-03-14 11:37:26
310,61668,3,9000,2023-05-24 09:19:38
311,90189,2,800,2023-03-28 06:14:45
312,81590,4,900,2023-01-05 08:45:05
313,75530,5,3000,2023-04-07 04:40:10
314,98530,4,3000,2023-03-10 20:53:25
315,34920,2,10000,2023-04-28 01:37:32
316,82463,4,8000,2023-07-12 22:27:18
317,22292,3,200,2023-03-11 12:50:01
318,46302,5,400,2023-01-02 02:25:00
319,97311,2,3000,2023-04-01 16:20:37
320,28158,4,2000,2023-02-13 06:49:07
321,9669,5,600,2023-04-15 18:39:41
322,25598,2,500,2023-03-03 18:54:43
323,86745,4,10000,2023-07-11 17:09:29
324,61204,3,4000,2023-01-29 07:56:52
325,6535,1,2000,2023-03-29 21:24:22
326,26870,5,4000,2023-03-21 11:17:30
327,13515,4,10000,2023-04-21 22:51:48
328,43143,5,10000,2023-02-13 07:48:17
329,79402,3,700,2023-06-27 10:48:50
330,93078,3,3000,2023-06-17 20:20:19
331,624,3,600,2023-04-14 14:07:41
332,11921,1,900,2023-03-24 22:37:23
333,51835,1,200,2023-01-29 14:19:48
334,41928,1,300,2023-06-14 23:55:58
335,92879,2,3000,2023-03-07 13:53:22
336,11224,4,9000,2023-01-16 11:52:08
337,36043,4,800,2023-04-01 14:17:07
338,19343,2,10000,2023-01-10 20:57:57
339,93399,3,7000,2023-08-15 20:46:52
340,62941,5,900,2023-03-16 11:07:02
341,73261,5,600,2023-04-25 04:19:29
342,10425,5,800,2023-02-15 19:39:56
343,38794,1,6000,2023-01-09 15:49:04
344,64034,4,1000,2023-01-09 06:55:30
345,30635,1,7000,2023-08-06 06:36:37
346,35903,2,700,2023-06-23 03:27:06
347,25087,2,800,2023-06-17 03:04:31
348,71094,1,400,2023-06-25 10:48:07
349,20400,5,7000,2023-04-05 07:40:44
350,41131,3,4000,2023-05-13 14:41:40
351,41526,4,7000,2023-07-19 04:29:11
352,50281,1,9000,2023-08-23 16:08:05
353,76707,3,7000,2023-06-19 01:42:35
354,84211,4,8000,2023-08-13 11:09:20
355,5979,5,9000,2023-03-08 08:19:11
356,68529,4,9000,2023-04-22 10:57:46
357,21630,1,800,2023-02-13 21:43:16
358,40257,2,600,2023-03-26 05:46:44
359,72374,4,10000,2023-05-23 03:00:18
360,97621,2,10000,2023-06-19 19:49:27
361,76241,5,7000,2023-05-15 07:37:41
362,56221,3,300,2023-02-28 20:10:57
363,57686,5,200,2023-07-14 06:03:41
364,32987,4,400,2023-06-29 06:56:45
365,57484,2,9000,2023-01-29 16:17:03
366,19962,1,800,2023-06-20 12:26:07
367,81106,5,4000,2023-05-18 15:22:17
368,47935,2,600,2023-04-18 00:56:13
369,43158,5,600,2023-02-02 19:34:12
370,60119,1,3000,2023-02-22 04:14:57
371,82221,1,800,2023-02-10 22:17:14
372,78403,2,700,2023-05-22 09:53:35
373,39403,2,400,2023-02-12 10:49:10
374,2971,1,200,2023-02-22 16:26:29
375,91364,5,400,2023-03-25 03:54:54
376,85567,2,5000,2023-05-12 01:31:28
377,2321,5,7000,2023-05-26 03:21:11
378,77959,1,700,2023-06-07 09:58:46
379,38542,5,200,2023-07-02 05:22:22
380,32849,2,100,2023-04-18 16:32:46
381,7881,5,5000,2023-07-30 12:56:07
382,28355,2,6000,2023-06-02 22:31:14
383,28551,2,5000,2023-03-06 23:36:11
384,42739,3,400,2023-08-17 01:49:47
385,789,5,7000,2023-03-05 01:16:15
386,93416,1,800,2023-02-13 18:43:04
387,99918,4,300,2023-07-19 06:31:41
388,58135,4,7000,2023-08-05 07:02:03
389,424,1,400,2023-03-14 04:32:17
390,29,4,600,2023-01-26 09:15:48
391,33986,1,700,2023-07-30 21:55:22
392,89438,5,400,2023-05-02 20:51:26
393,14757,4,3000,2023-05-10 12:59:41
394,5855,5,400,2023-04-23 06:25:09
395,45149,3,4000,2023-05-28 23:25:00
396,93686,5,600,2023-04-09 19:43:49
397,2747,2,400,2023-02-01 16:27:34
398,19899,4,5000,2023-04-14 10:04:30
399,64887,4,500,2023-06-22 08:51:46
400,87681,2,200,2023-01-14 05:54:02
401,43579,2,2000,2023-01-26 23:59:52
402,43099,2,10000,2023-02-10 13:37:08
403,94925,5,600,2023-06-11 04:40:48
404,15294,4,5000,2023-02-24 14:18:24
405,82073,4,3000,2023-03-11 12:41:34
406,54666,1,200,2023-05-12 17:39:41
407,60921,4,400,2023-05-01 05:52:08
408,6412,5,700,2023-01-01 14:13:06
409,13077,3,300,2023-02-10 01:58:02
410,242,3,600,2023-06-07 09:56:08
411,85052,3,5000,2023-04-28 17:50:24
412,67105,2,300,2023-04-29 18:54:26
413,29579,5,5000,2023-04-20 22:05:02
414,51499,3,600,2023-05-23 12:07:43
415,29770,5,1000,2023-02-18 08:08:43
416,37987,1,100,2023-01-27 04:11:20
417,22897,3,6000,2023-08-13 22:49:36
418,6357,5,7000,2023-03-22 18:28:05
419,55999,1,300,2023-05-25 16:41:42
420,29147,1,7000,2023-08-21 04:08:46
421,58403,3,10000,2023-07-20 13:00:14
422,32401,4,400,2023-01-22 10:11:17
423,33569,3,500,2023-06-09 03:54:00
424,29938,3,9000,2023-01-21 23:27:05
425,96510,1,500,2023-03-05 03:16:12
426,17168,5,1000,2023-02-04 16:23:16
427,65893,1,10000,2023-08-18 14:03:03
428,35273,2,5000,2023-07-31 08:32:03
429,50389,5,10000,2023-05-20 06:46:56
430,42805,3,500,2023-03-28 12:43:35
431,79309,5,400,2023-06-13 00:29:47
432,12621,4,6000,2023-08-09 04:51:37
433,33659,3,10000,2023-04-29 04:41:06
434,29744,3,100,2023-01-15 13:38:38
435,18556,5,600,2023-01-17 04:51:08
436,59197,5,7000,2023-03-04 21:01:20
437,53764,3,200,2023-03-01 11:40:08
438,54001,1,10000,2023-04-13 08:42:37
439,43601,1,800,2023-04-19 04:42:00
440,79875,5,9000,2023-03-16 15:11:36
441,15739,2,500,2023-06-21 09:27:30
442,70750,5,9000,2023-06-13 08:37:39
443,84536,1,100,2023-04-13 12:34:08
444,84767,5,2000,2023-06-02 01:19:56
445,40643,3,900,2023-07-16 10:55:57
446,96863,4,300,2023-06-01 10:49:27
447,35514,5,6000,2023-06-19 16:49:56
448,52709,2,900,2023-04-16 19:40:29
449,37528,3,200,2023-06-08 00:45:35
450,79846,5,800,2023-03-12 23:09:45
451,12506,3,400,2023-03-29 14:45:17
452,6746,3,6000,2023-03-11 00:08:57
453,21274,5,5000,2023-06-29 23:20:40
454,79899,3,10000,2023-07-13 22:13:05
455,68070,4,5000,2023-02-26 17:13:48
456,5380,4,1000,2023-03-28 22:52:43
457,44120,3,900,2023-08-02 22:17:18
458,17404,1,10000,2023-02-27 10:25:42
459,74067,3,6000,2023-02-05 16:39:01
460,88646,1,10000,2023-08-09 10:42:22
461,41523,2,800,2023-02-16 23:36:49
462,87696,1,700,2023-08-09 09:32:38
463,85982,5,200,2023-08-12 16:24:04
464,54951,5,200,2023-06-29 12:00:51
465,67602,3,700,2023-07-14 10:20:58
466,30193,4,10000,2023-08-08 23:26:57
467,69919,5,3000,2023-03-21 20:11:55
468,26283,4,5000,2023-03-19 00:33:42
469,33077,5,10000,2023-01-10 01:04:33
470,23879,4,1000,2023-04-29 17:08:27
471,9314,2,400,2023-01-06 22:20:12
472,53258,1,400,2023-03-11 11:14:38
473,85964,1,2000,2023-01-24 20:51:24
474,96661,4,10000,2023-01-06 04:33:07
475,63764,2,900,2023-06-28 23:21:16
476,54991,1,10000,2023-08-17 04:46:36
477,9547,5,4000,2023-04-22 09:33:34
478,34132,5,400,2023-07-22 12:43:50
479,10894,3,400,2023-05-08 23:05:48
480,98255,3,300,2023-02-14 16:48:50
481,7403,5,9000,2023-03-02 14:02:56
482,21713,4,5000,2023-03-12 08:01:36
483,10447,5,5000,2023-05-23 23:04:40
484,16370,3,7000,2023-07-20 10:29:10
485,45527,4,4000,2023-01-27 05:57:20
486,27450,2,10000,2023-07-26 05:06:17
487,68466,3,800,2023-05-26 23:11:56
488,48353,5,10000,2023-04-10 06:55:53
489,96290,3,100,2023-03-05 09:08:12
490,45980,1,800,2023-07-01 19:47:10
491,73454,4,1000,2023-05-06 23:17:20
492,84088,3,900,2023-07-29 06:09:51
493,77427,3,600,2023-02-17 06:27:03
494,53528,5,600,2023-05-27 06:29:55
495,50407,1,900,2023-01-22 20:33:02
496,74278,4,10000,2023-08-01 08:34:17
497,76947,2,100,2023-02-23 16:20:14
498,72411,1,700,2023-05-17 06:11:48
499,32773,3,9000,2023-03-13 09:56:12
500,48899,4,8000,2023-03-30 02:28:32
501,97524,2,900,2023-03-19 21:15:12
502,31730,5,2000,2023-06-26 10:02:09
503,34709,4,200,2023-06-20 15:28:47
504,52627,1,7000,2023-02-13 10:23:59
505,42141,5,900,2023-03-25 13:01:38
506,9359,3,3000,2023-07-21 01:05:53
507,78236,4,7000,2023-02-24 22:04:49
508,1890,2,6000,2023-04-03 15:10:46
509,16695,4,5000,2023-07-11 15:17:38
510,18360,3,600,2023-03-21 20:51:54
511,22406,5,7000,2023-07-19 23:56:26
512,23794,4,5000,2023-08-07 12:06:28
513,58330,2,7000,2023-06-19 11:31:14
514,69747,2,200,2023-07-14 23:00:04
515,14450,2,10000,2023-03-17 01:06:35
516,77912,2,2000,2023-03-19 05:24:02
517,80797,2,800,2023-03-14 21:25:28
518,47692,5,10000,2023-01-16 06:32:01
519,32388,3,700,2023-02-20 21:37:08
520,17510,1,800,2023-08-14 06:03:57
521,30247,4,500,2023-03-29 01:19:46
522,84518,4,500,2023-03-05 09:11:24
523,32117,1,200,2023-01-24 12:01:33
524,17593,2,9000,2023-04-29 08:29:12
525,17804,5,9000,2023-01-25 16:00:57
526,38684,1,5000,2023-05-21 04:29:00
527,22065,2,10000,2023-04-23 02:13:51
528,73983,3,300,2023-05-01 01:16:05
529,75871,4,400,2023-05-31 19:10:36
530,26889,4,200,2023-06-30 20:48:15
531,56500,2,200,2023-03-30 17:41:43
532,49978,4,4000,2023-01-11 05:55:54
533,60918,1,2000,2023-07-26 11:26:12
534,42751,5,700,2023-05-14 04:16:25
535,74429,5,100,2023-03-11 03:29:29
536,69420,4,300,2023-06-14 22:44:19
537,56574,5,800,2023-02-25 06:32:32
538,54215,5,8000,2023-02-25 22:53:28
539,7390,1,2000,2023-01-07 03:29:01
540,10784,5,3000,2023-01-18 06:14:51
541,75759,4,600,2023-03-09 01:05:45
542,27621,5,7000,2023-02-05 12:32:09
543,71426,3,900,2023-07-30 16:24:58
544,54046,4,400,2023-05-10 21:12:35
545,58979,4,4000,2023-02-28 08:48:37
546,47288,4,6000,2023-04-09 05:19:25
547,60605,4,2000,2023-08-16 09:33:41
548,94889,2,100,2023-08-21 03:19:07
549,86373,5,9000,2023-01-18 04:37:50
550,22016,3,200,2023-02-15 19:27:20
551,33052,2,500,2023-01-11 20:20:14
552,4292,1,1000,2023-08-01 18:43:19
553,37606,2,500,2023-02-26 23:53:30
554,45721,5,700,2023-08-13 13:21:12
555,74207,5,2000,2023-05-08 01:52:00
556,23711,1,600,2023-03-27 23:52:40
557,82714,2,600,2023-08-07 17:06:59
558,34384,3,7000,2023-04-28 01:44:13
559,95673,5,500,2023-08-16 23:22:55
560,20418,2,300,2023-07-25 04:18:09
561,31494,1,3000,2023-03-26 18:01:36
562,20763,3,500,2023-04-10 12:28:25
563,33721,5,700,2023-02-08 22:47:52
564,43853,4,900,2023-03-15 16:30:50
565,95766,1,6000,2023-07-06 01:18:02
566,35293,1,200,2023-03-25 11:06:02
567,78172,5,500,2023-03-13 07:23:55
568,94811,1,9000,2023-04-20 11:48:00
569,70899,1,3000,2023-05-24 18:31:26
570,19532,1,400,2023-08-12 10:59:29
571,31549,2,200,2023-05-28 09:00:39
572,71764,4,800,2023-08-15 00:52:04
573,15356,5,2000,2023-07-19 07:45:12
574,81381,3,7000,2023-08-10 11:33:09
575,21394,4,800,2023-03-17 21:39:22
576,31434,1,200,2023-03-06 02:51:02
577,99590,3,5000,2023-04-09 18:23:01
578,61934,4,9000,2023-02-20 21:34:59
579,75800,1,3000,2023-01-21 11:51:47
580,72454,3,600,2023-05-09 06:12:44
581,62613,1,8000,2023-02-05 10:05:17
582,1588,1,700,2023-05-24 19:25:52
583,69284,5,7000,2023-05-13 10:17:20
584,39717,4,2000,2023-01-30 16:03:31
585,54853,3,300,2023-04-06 01:47:52
586,95120,3,6000,2023-05-14 16:18:30
587,42566,2,400,2023-05-16 19:08:36
588,30914,3,900,2023-08-23 07:57:00
589,98478,1,500,2023-04-26 05:00:28
590,49254,4,300,2023-01-26 02:51:51
591,84383,3,3000,2023-03-31 08:01:15
592,46400,2,3000,2023-03-02 21:55:34
593,11293,3,1000,2023-04-04 20:37:43
594,98771,5,900,2023-02-24 10:08:33
595,42699,5,500,2023-03-01 01:37:31
596,53593,4,200,2023-06-15 08:25:44
597,20749,5,400,2023-01-14 17:58:13
598,19204,1,100,2023-03-19 13:07:00
599,987,3,400,2023-03-25 20:52:59
600,45818,4,7000,2023-03-15 22:19:06
601,41128,1,3000,2023-01-03 22:05:02
602,47284,3,200,2023-03-21 06:53:19
603,55414,5,9000,2023-07-07 11:26:46
604,31425,1,600,2023-05-15 09:29:29
605,82873,3,1000,2023-03-31 21:19:07
606,19510,2,4000,2023-07-01 13:36:35
607,18766,2,3000,2023-05-01 00:13:52
608,94329,4,300,2023-08-12 12:57:49
609,71152,3,200,2023-06-09 18:26:23
610,49231,3,700,2023-02-12 14:58:52
611,22470,3,9000,2023-04-25 23:14:44
612,10467,5,400,2023-05-30 04:48:36
613,97226,5,300,2023-03-22 14:01:55
614,71875,2,900,2023-03-24 18:52:04
615,76669,1,200,2023-02-24 01:23:10
616,89683,5,10000,2023-01-04 04:51:21
617,60716,4,300,2023-03-15 20:37:20
618,46696,2,9000,2023-02-21 14:32:21
619,77763,5,600,2023-06-30 00:27:36
620,9737,2,900,2023-08-24 14:17:52
