location_id,region,city
216,Tanger-Tetouan-Al Hoceima,Tanger
217,Tanger-Tetouan-Al Hoceima,Hoceima
218,Rabat-Sale-Kenitra,Sale
219,Casablanca-Settat,Settat
220,Rabat-Sale-Kenitra,Kenitra
221,Casablanca-Settat,Settat
222,Rabat-Sale-Kenitra,Rabat
223,Rabat-Sale-Kenitra,Rabat
224,Casablanca-Settat,Casablanca
225,Marrakech-Safi,Marrakech
226,Marrakech-Safi,Marrakech
227,Fes-Meknes,Meknes
228,Marrakech-Safi,Safi
229,Rabat-Sale-Kenitra,Rabat
230,Rabat-Sale-Kenitra,Rabat
231,Casablanca-Settat,Settat
232,Rabat-Sale-Kenitra,Kenitra
233,Fes-Meknes,Fes
234,Rabat-Sale-Kenitra,Kenitra
235,Tanger-Tetouan-Al Hoceima,Hoceima
236,Tanger-Tetouan-Al Hoceima,Tetouan
237,Fes-Meknes,Meknes
238,Marrakech-Safi,Marrakech
239,Casablanca-Settat,Casablanca
240,Casablanca-Settat,Settat
241,Fes-Meknes,Fes
242,Tanger-Tetouan-Al Hoceima,Hoceima
243,Tanger-Tetouan-Al Hoceima,Tetouan
244,Rabat-Sale-Kenitra,Rabat
245,Rabat-Sale-Kenitra,Sale
246,Casablanca-Settat,Settat
247,Tanger-Tetouan-Al Hoceima,Tetouan
248,Fes-Meknes,Meknes
249,Marrakech-Safi,Safi
250,Fes-Meknes,Fes
251,Tanger-Tetouan-Al Hoceima,Hoceima
252,Fes-Meknes,Fes
253,Marrakech-Safi,Safi
254,Fes-Meknes,Fes
255,Fes-Meknes,Fes
256,Marrakech-Safi,Marrakech
257,Casablanca-Settat,Settat
258,Marrakech-Safi,Safi
259,Casablanca-Settat,Settat
260,Tanger-Tetouan-Al Hoceima,Tanger
261,Fes-Meknes,Fes
262,Casablanca-Settat,Casablanca
263,Casablanca-Settat,Settat
264,Rabat-Sale-Kenitra,Kenitra
265,Marrakech-Safi,Marrakech
266,Casablanca-Settat,Casablanca
267,Fes-Meknes,Fes
268,Fes-Meknes,Meknes
269,Rabat-Sale-Kenitra,Kenitra
270,Casablanca-Settat,Casablanca
271,Tanger-Tetouan-Al Hoceima,Tetouan
272,Casablanca-Settat,Casablanca
273,Fes-Meknes,Meknes
274,Casablanca-Settat,Casablanca
275,Casablanca-Settat,Settat
276,Marrakech-Safi,Marrakech
277,Fes-Meknes,Fes
278,Rabat-Sale-Kenitra,Rabat
279,Casablanca-Settat,Casablanca
280,Tanger-Tetouan-Al Hoceima,Tanger
281,Rabat-Sale-Kenitra,Rabat
282,Rabat-Sale-Kenitra,Kenitra
283,Rabat-Sale-Kenitra,Kenitra
284,Marrakech-Safi,Marrakech
285,Casablanca-Settat,Casablanca
286,Rabat-Sale-Kenitra,Rabat
287,Rabat-Sale-Kenitra,Kenitra
288,Casablanca-Settat,Casablanca
289,Casablanca-Settat,Settat
290,Tanger-Tetouan-Al Hoceima,Hoceima
291,Marrakech-Safi,Marrakech
292,Rabat-Sale-Kenitra,Kenitra
293,Rabat-Sale-Kenitra,Rabat
294,Marrakech-Safi,Safi
295,Casablanca-Settat,Casablanca
296,Tanger-Tetouan-Al Hoceima,Tanger
297,Rabat-Sale-Kenitra,Rabat
298,Rabat-Sale-Kenitra,Rabat
299,Fes-Meknes,Meknes
300,Casablanca-Settat,Settat
301,Rabat-Sale-Kenitra,Rabat
302,Rabat-Sale-Kenitra,Sale
303,Tanger-Tetouan-Al Hoceima,Tanger
304,Rabat-Sale-Kenitra,Sale
305,Fes-Meknes,Fes
306,Tanger-Tetouan-Al Hoceima,Hoceima
307,Marrakech-Safi,Safi
308,Fes-Meknes,Meknes
309,Rabat-Sale-Kenitra,Kenitra
310,Rabat-Sale-Kenitra,Sale
311,Marrakech-Safi,Safi
312,Tanger-Tetouan-Al Hoceima,Tetouan
313,Rabat-Sale-Kenitra,Kenitra
314,Fes-Meknes,Fes
315,Fes-Meknes,Meknes
316,Marrakech-Safi,Safi
317,Rabat-Sale-Kenitra,Kenitra
318,Marrakech-Safi,Safi
319,Tanger-Tetouan-Al Hoceima,Tetouan
320,Fes-Meknes,Meknes
321,Casablanca-Settat,Settat
322,Marrakech-Safi,Safi
323,Tanger-Tetouan-Al Hoceima,Tanger
324,Rabat-Sale-Kenitra,Kenitra
325,Marrakech-Safi,Safi
326,Tanger-Tetouan-Al Hoceima,Hoceima
327,Fes-Meknes,Fes
328,Marrakech-Safi,Safi
329,Marrakech-Safi,Marrakech
330,Marrakech-Safi,Safi
331,Tanger-Tetouan-Al Hoceima,Tanger
332,Rabat-Sale-Kenitra,Rabat
333,Marrakech-Safi,Safi
334,Rabat-Sale-Kenitra,Kenitra
335,Marrakech-Safi,Safi
336,Tanger-Tetouan-Al Hoceima,Hoceima
337,Marrakech-Safi,Safi
338,Tanger-Tetouan-Al Hoceima,Tanger
339,Casablanca-Settat,Settat
340,Fes-Meknes,Fes
341,Fes-Meknes,Fes
342,Casablanca-Settat,Settat
343,Casablanca-Settat,Casablanca
344,Tanger-Tetouan-Al Hoceima,Tetouan
345,Fes-Meknes,Fes
346,Casablanca-Settat,Casablanca
347,Tanger-Tetouan-Al Hoceima,Tetouan
348,Tanger-Tetouan-Al Hoceima,Tanger
349,Tanger-Tetouan-Al Hoceima,Hoceima
350,Tanger-Tetouan-Al Hoceima,Tanger
351,Tanger-Tetouan-Al Hoceima,Tanger
352,Rabat-Sale-Kenitra,Kenitra
353,Casablanca-Settat,Settat
354,Fes-Meknes,Meknes
355,Marrakech-Safi,Marrakech
356,Casablanca-Settat,Settat
357,Tanger-Tetouan-Al Hoceima,Tetouan
358,Fes-Meknes,Meknes
359,Tanger-Tetouan-Al Hoceima,Tetouan
360,Rabat-Sale-Kenitra,Sale
361,Casablanca-Settat,Settat
362,Fes-Meknes,Meknes
363,Tanger-Tetouan-Al Hoceima,Tanger
364,Marrakech-Safi,Marrakech
365,Tanger-Tetouan-Al Hoceima,Hoceima
366,Fes-Meknes,Fes
367,Rabat-Sale-Kenitra,Kenitra
368,Rabat-Sale-Kenitra,Rabat
369,Tanger-Tetouan-Al Hoceima,Tetouan
370,Rabat-Sale-Kenitra,Sale
371,Rabat-Sale-Kenitra,Rabat
372,Tanger-Tetouan-Al Hoceima,Tetouan
373,Marrakech-Safi,Marrakech
374,Tanger-Tetouan-Al Hoceima,Tanger
375,Tanger-Tetouan-Al Hoceima,Hoceima
376,Fes-Meknes,Fes
377,Marrakech-Safi,Safi
378,Marrakech-Safi,Marrakech
379,Fes-Meknes,Meknes
380,Marrakech-Safi,Marrakech
381,Rabat-Sale-Kenitra,Sale
382,Marrakech-Safi,Safi
383,Rabat-Sale-Kenitra,Rabat
384,Casablanca-Settat,Settat
385,Marrakech-Safi,Marrakech
386,Tanger-Tetouan-Al Hoceima,Hoceima
387,Casablanca-Settat,Settat
388,Rabat-Sale-Kenitra,Rabat
389,Rabat-Sale-Kenitra,Sale
390,Tanger-Tetouan-Al Hoceima,Hoceima
391,Rabat-Sale-Kenitra,Kenitra
392,Tanger-Tetouan-Al Hoceima,Tetouan
393,Fes-Meknes,Fes
394,Fes-Meknes,Fes
395,Casablanca-Settat,Casablanca
396,Rabat-Sale-Kenitra,Rabat
397,Marrakech-Safi,Safi
398,Marrakech-Safi,Marrakech
399,Rabat-Sale-Kenitra,Sale
400,Marrakech-Safi,Safi
401,Marrakech-Safi,Safi
402,Tanger-Tetouan-Al Hoceima,Hoceima
403,Marrakech-Safi,Marrakech
404,Casablanca-Settat,Casablanca
405,Rabat-Sale-Kenitra,Rabat
406,Rabat-Sale-Kenitra,Kenitra
407,Fes-Meknes,Fes
408,Tanger-Tetouan-Al Hoceima,Hoceima
409,Fes-Meknes,Meknes
410,Tanger-Tetouan-Al Hoceima,Tanger
411,Casablanca-Settat,Settat
412,Marrakech-Safi,Marrakech
413,Marrakech-Safi,Safi
414,Marrakech-Safi,Marrakech
415,Casablanca-Settat,Casablanca
416,Marrakech-Safi,Marrakech
417,Rabat-Sale-Kenitra,Kenitra
418,Casablanca-Settat,Casablanca
419,Tanger-Tetouan-Al Hoceima,Tetouan
420,Tanger-Tetouan-Al Hoceima,Tanger
421,Marrakech-Safi,Safi
422,Rabat-Sale-Kenitra,Rabat
423,Marrakech-Safi,Safi
424,Fes-Meknes,Fes
425,Rabat-Sale-Kenitra,Rabat
426,Marrakech-Safi,Safi
427,Fes-Meknes,Fes
428,Tanger-Tetouan-Al Hoceima,Hoceima
429,Fes-Meknes,Fes
430,Marrakech-Safi,Marrakech
431,Tanger-Tetouan-Al Hoceima,Tanger
432,Fes-Meknes,Meknes
433,Rabat-Sale-Kenitra,Kenitra
434,Tanger-Tetouan-Al Hoceima,Tetouan
435,Casablanca-Settat,Settat
436,Fes-Meknes,Fes
437,Rabat-Sale-Kenitra,Sale
438,Fes-Meknes,Meknes
439,Tanger-Tetouan-Al Hoceima,Hoceima
440,Rabat-Sale-Kenitra,Sale
441,Casablanca-Settat,Settat
442,Fes-Meknes,Fes
443,Fes-Meknes,Meknes
444,Rabat-Sale-Kenitra,Rabat
445,Casablanca-Settat,Settat
446,Casablanca-Settat,Casablanca
447,Marrakech-Safi,Marrakech
448,Tanger-Tetouan-Al Hoceima,Hoceima
449,Fes-Meknes,Meknes
450,Casablanca-Settat,Casablanca
451,Casablanca-Settat,Settat
452,Casablanca-Settat,Casablanca
453,Casablanca-Settat,Casablanca
454,Rabat-Sale-Kenitra,Kenitra
455,Fes-Meknes,Meknes
456,Marrakech-Safi,Safi
457,Rabat-Sale-Kenitra,Kenitra
458,Tanger-Tetouan-Al Hoceima,Tetouan
459,Tanger-Tetouan-Al Hoceima,Tanger
460,Fes-Meknes,Fes
461,Fes-Meknes,Meknes
462,Rabat-Sale-Kenitra,Rabat
463,Casablanca-Settat,Settat
464,Tanger-Tetouan-Al Hoceima,Tanger
465,Fes-Meknes,Fes
466,Tanger-Tetouan-Al Hoceima,Tanger
467,Tanger-Tetouan-Al Hoceima,Hoceima
468,Rabat-Sale-Kenitra,Sale
469,Tanger-Tetouan-Al Hoceima,Tanger
470,Tanger-Tetouan-Al Hoceima,Tetouan
471,Rabat-Sale-Kenitra,Rabat
472,Marrakech-Safi,Marrakech
473,Casablanca-Settat,Settat
474,Rabat-Sale-Kenitra,Rabat
475,Marrakech-Safi,Safi
476,Rabat-Sale-Kenitra,Sale
477,Rabat-Sale-Kenitra,Sale
478,Rabat-Sale-Kenitra,Sale
479,Rabat-Sale-Kenitra,Sale
480,Tanger-Tetouan-Al Hoceima,Tetouan
481,Tanger-Tetouan-Al Hoceima,Tetouan
482,Marrakech-Safi,Marrakech
483,Fes-Meknes,Meknes
484,Rabat-Sale-Kenitra,Rabat
485,Tanger-Tetouan-Al Hoceima,Tanger
486,Rabat-Sale-Kenitra,Sale
487,Tanger-Tetouan-Al Hoceima,Hoceima
488,Fes-Meknes,Meknes
489,Fes-Meknes,Fes
490,Fes-Meknes,Fes
491,Fes-Meknes,Meknes
492,Casablanca-Settat,Settat
493,Marrakech-Safi,Marrakech
494,Marrakech-Safi,Marrakech
495,Marrakech-Safi,Marrakech
496,Tanger-Tetouan-Al Hoceima,Hoceima
497,Rabat-Sale-Kenitra,Sale
498,Marrakech-Safi,Safi
499,Marrakech-Safi,Marrakech
500,Rabat-Sale-Kenitra,Rabat
501,Tanger-Tetouan-Al Hoceima,Tetouan
502,Tanger-Tetouan-Al Hoceima,Tanger
503,Tanger-Tetouan-Al Hoceima,Hoceima
504,Fes-Meknes,Fes
505,Fes-Meknes,Meknes
506,Marrakech-Safi,Marrakech
507,Casablanca-Settat,Settat
508,Marrakech-Safi,Safi
509,Casablanca-Settat,Casablanca
510,Fes-Meknes,Meknes
511,Rabat-Sale-Kenitra,Kenitra
512,Casablanca-Settat,Casablanca
513,Marrakech-Safi,Marrakech
514,Casablanca-Settat,Settat
515,Rabat-Sale-Kenitra,Kenitra
516,Rabat-Sale-Kenitra,Rabat
517,Marrakech-Safi,Safi
518,Fes-Meknes,Meknes
519,Tanger-Tetouan-Al Hoceima,Tanger
520,Fes-Meknes,Meknes
521,Rabat-Sale-Kenitra,Kenitra
522,Marrakech-Safi,Marrakech
523,Fes-Meknes,Fes
524,Rabat-Sale-Kenitra,Kenitra
525,Fes-Meknes,Fes
526,Casablanca-Settat,Settat
527,Marrakech-Safi,Marrakech
528,Marrakech-Safi,Marrakech
529,Fes-Meknes,Meknes
530,Marrakech-Safi,Safi
531,Marrakech-Safi,Marrakech
532,Marrakech-Safi,Safi
533,Rabat-Sale-Kenitra,Sale
534,Fes-Meknes,Fes
535,Marrakech-Safi,Safi
536,Marrakech-Safi,Safi
537,Fes-Meknes,Fes
538,Tanger-Tetouan-Al Hoceima,Hoceima
539,Casablanca-Settat,Casablanca
540,Marrakech-Safi,Marrakech
541,Casablanca-Settat,Casablanca
542,Marrakech-Safi,Marrakech
543,Casablanca-Settat,Settat
544,Tanger-Tetouan-Al Hoceima,Tanger
545,Rabat-Sale-Kenitra,Sale
546,Casablanca-Settat,Casablanca
547,Fes-Meknes,Fes
548,Tanger-Tetouan-Al Hoceima,Tetouan
549,Rabat-Sale-Kenitra,Rabat
550,Fes-Meknes,Meknes
551,Fes-Meknes,Fes
552,Tanger-Tetouan-Al Hoceima,Hoceima
553,Tanger-Tetouan-Al Hoceima,Tetouan
554,Casablanca-Settat,Casablanca
555,Tanger-Tetouan-Al Hoceima,Hoceima
556,Fes-Meknes,Fes
557,Rabat-Sale-Kenitra,Kenitra
558,Tanger-Tetouan-Al Hoceima,Tanger
559,Rabat-Sale-Kenitra,Sale
560,Fes-Meknes,Meknes
561,Rabat-Sale-Kenitra,Sale
562,Tanger-Tetouan-Al Hoceima,Tanger
563,Casablanca-Settat,Settat
564,Tanger-Tetouan-Al Hoceima,Hoceima
565,Rabat-Sale-Kenitra,Sale
566,Rabat-Sale-Kenitra,Rabat
567,Casablanca-Settat,Settat
568,Tanger-Tetouan-Al Hoceima,Tanger
569,Rabat-Sale-Kenitra,Sale
570,Casablanca-Settat,Casablanca
571,Marrakech-Safi,Marrakech
572,Marrakech-Safi,Safi
573,Marrakech-Safi,Safi
574,Marrakech-Safi,Marrakech
575,Rabat-Sale-Kenitra,Kenitra
576,Casablanca-Settat,Settat
577,Tanger-Tetouan-Al Hoceima,Tetouan
578,Tanger-Tetouan-Al Hoceima,Tanger
579,Fes-Meknes,Meknes
580,Tanger-Tetouan-Al Hoceima,Hoceima
581,Rabat-Sale-Kenitra,Kenitra
582,Marrakech-Safi,Safi
583,Casablanca-Settat,Casablanca
584,Casablanca-Settat,Casablanca
585,Fes-Meknes,Fes
586,Fes-Meknes,Meknes
587,Fes-Meknes,Meknes
588,Rabat-Sale-Kenitra,Sale
589,Marrakech-Safi,Marrakech
590,Rabat-Sale-Kenitra,Rabat
591,Marrakech-Safi,Marrakech
592,Casablanca-Settat,Settat
593,Fes-Meknes,Meknes
594,Rabat-Sale-Kenitra,Kenitra
595,Casablanca-Settat,Settat
596,Rabat-Sale-Kenitra,Sale
597,Marrakech-Safi,Marrakech
598,Rabat-Sale-Kenitra,Kenitra
599,Casablanca-Settat,Casablanca
600,Marrakech-Safi,Safi
601,Casablanca-Settat,Casablanca
602,Tanger-Tetouan-Al Hoceima,Tetouan
603,Tanger-Tetouan-Al Hoceima,Hoceima
604,Marrakech-Safi,Marrakech
605,Marrakech-Safi,Safi
606,Tanger-Tetouan-Al Hoceima,Tetouan
607,Fes-Meknes,Fes
608,Fes-Meknes,Fes
609,Marrakech-Safi,Marrakech
610,Casablanca-Settat,Settat
611,Fes-Meknes,Meknes
612,Rabat-Sale-Kenitra,Rabat
613,Fes-Meknes,Fes
614,Tanger-Tetouan-Al Hoceima,Hoceima
615,Casablanca-Settat,Settat
616,Tanger-Tetouan-Al Hoceima,Tetouan
617,Tanger-Tetouan-Al Hoceima,Tetouan
618,Rabat-Sale-Kenitra,Sale
619,Fes-Meknes,Meknes
620,Casablanca-Settat,Casablanca
621,Casablanca-Settat,Settat
622,Casablanca-Settat,Casablanca
623,Marrakech-Safi,Safi
624,Casablanca-Settat,Casablanca
625,Casablanca-Settat,Settat
626,Casablanca-Settat,Settat
627,Marrakech-Safi,Safi
628,Rabat-Sale-Kenitra,Sale
629,Rabat-Sale-Kenitra,Sale
630,Marrakech-Safi,Safi
631,Casablanca-Settat,Settat
632,Rabat-Sale-Kenitra,Rabat
633,Marrakech-Safi,Marrakech
634,Tanger-Tetouan-Al Hoceima,Tanger
635,Rabat-Sale-Kenitra,Rabat
636,Tanger-Tetouan-Al Hoceima,Tanger
637,Fes-Meknes,Fes
638,Tanger-Tetouan-Al Hoceima,Tanger
639,Fes-Meknes,Fes
640,Tanger-Tetouan-Al Hoceima,Tetouan
641,Casablanca-Settat,Settat
642,Rabat-Sale-Kenitra,Sale
643,Casablanca-Settat,Casablanca
644,Marrakech-Safi,Marrakech
645,Casablanca-Settat,Casablanca
646,Fes-Meknes,Meknes
647,Tanger-Tetouan-Al Hoceima,Tanger
648,Rabat-Sale-Kenitra,Sale
649,Casablanca-Settat,Settat
650,Casablanca-Settat,Casablanca
651,Fes-Meknes,Meknes
652,Tanger-Tetouan-Al Hoceima,Tanger
653,Fes-Meknes,Fes
654,Fes-Meknes,Fes
655,Casablanca-Settat,Casablanca
656,Rabat-Sale-Kenitra,Kenitra
657,Tanger-Tetouan-Al Hoceima,Hoceima
658,Marrakech-Safi,Safi
659,Marrakech-Safi,Safi
660,Casablanca-Settat,Casablanca
661,Fes-Meknes,Fes
662,Marrakech-Safi,Marrakech
663,Tanger-Tetouan-Al Hoceima,Tanger
664,Rabat-Sale-Kenitra,Sale
665,Marrakech-Safi,Safi
666,Marrakech-Safi,Marrakech
667,Tanger-Tetouan-Al Hoceima,Hoceima
668,Tanger-Tetouan-Al Hoceima,Tanger
669,Fes-Meknes,Meknes
670,Fes-Meknes,Fes
671,Rabat-Sale-Kenitra,Sale
672,Marrakech-Safi,Marrakech
673,Marrakech-Safi,Safi
674,Fes-Meknes,Fes
675,Marrakech-Safi,Safi
676,Rabat-Sale-Kenitra,Kenitra
677,Fes-Meknes,Fes
678,Casablanca-Settat,Casablanca
679,Rabat-Sale-Kenitra,Kenitra
680,Tanger-Tetouan-Al Hoceima,Tanger
681,Marrakech-Safi,Marrakech
682,Marrakech-Safi,Safi
683,Casablanca-Settat,Settat
684,Rabat-Sale-Kenitra,Sale
685,Fes-Meknes,Fes
686,Casablanca-Settat,Settat
687,Rabat-Sale-Kenitra,Rabat
688,Fes-Meknes,Fes
689,Rabat-Sale-Kenitra,Kenitra
690,Fes-Meknes,Fes
691,Casablanca-Settat,Settat
692,Tanger-Tetouan-Al Hoceima,Tetouan
693,Casablanca-Settat,Casablanca
694,Rabat-Sale-Kenitra,Rabat
695,Fes-Meknes,Meknes
696,Marrakech-Safi,Safi
697,Rabat-Sale-Kenitra,Sale
698,Fes-Meknes,Fes
699,Casablanca-Settat,Casablanca
700,Rabat-Sale-Kenitra,Kenitra
701,Marrakech-Safi,Marrakech
702,Marrakech-Safi,Safi
703,Tanger-Tetouan-Al Hoceima,Tetouan
704,Tanger-Tetouan-Al Hoceima,Tetouan
705,Tanger-Tetouan-Al Hoceima,Tanger
706,Casablanca-Settat,Casablanca
707,Rabat-Sale-Kenitra,Kenitra
708,Casablanca-Settat,Casablanca
709,Tanger-Tetouan-Al Hoceima,Tetouan
710,Tanger-Tetouan-Al Hoceima,Tetouan
711,Rabat-Sale-Kenitra,Kenitra
712,Rabat-Sale-Kenitra,Rabat
